"GEOID","NAME","Particulate.Matter"
"26115832700","8327",7.00558434527391
"26115832800","8328",7.10333827132891
"26115832900","8329",7.30184609175578
"26115833000","8330",7.71148322886205
"26115833200","8332",7.16543391266202
"26115833300","8333",8.17439038342215
"26115833500","8335",7.78462202999088
"26115833600","8336",7.40140593665843
"26115833800","8338",7.56421161528757
"26115833900","8339",8.06360351144342
"26115830300","8303",6.51074609537444
"26115831900","8319",9.01742139019401
"26115830200","8302",6.59155621085546
"26115830100","8301",6.62571367092205
"26115833700","8337",7.32964503235525
"26115830400","8304",6.87654176158715
"26115831500","8315",8.06376425954637
"26115830500","8305",7.04816325906689
"26115831300","8313",6.88706569418876
"26115833100","8331",7.29458137813297
"26115831200","8312",6.77337058188792
"26115830600","8306",7.18988415261562
"26115830700","8307",7.41431374120723
"26115830800","8308",7.46264026820139
"26115830900","8309",7.159505197934
"26115831000","8310",7.14524086805503
"26115831100","8311",7.17953600312233
"26115831400","8314",7.56957149208418
"26115831600","8316",7.86330192678935
"26115831700","8317",7.52865791959652
"26115831800","8318",8.17176649424618
"26115832000","8320",8.69616404763217
"26115832100","8321",9.01401318822535
"26115832300","8323",8.03217527641702
"26115832400","8324",7.18237991519697
"26115832500","8325",7.36189999229987
"26115832600","8326",7.01794981440236
"26115832200","8322",8.42902156630679
