"GEOID","NAME","Particulate.Matter"
"48367140706","1407.06",7.22625133012722
"48367140408","1404.08",7.2634171845839
"48367140102","1401.02",6.91284354443023
"48367140409","1404.09",6.89465295822391
"48367140703","1407.03",7.15150618926977
"48367140101","1401.01",6.98951671004298
"48367140407","1404.07",7.11520291828379
"48367140405","1404.05",7.29075098049508
"48367140601","1406.01",6.71961862701912
"48367140200","1402",7.16717417502437
"48367140602","1406.02",6.83384402473692
"48367140300","1403",6.80627293941968
"48367140403","1404.03",6.96871472836858
"48367140502","1405.02",6.29073736035029
"48367140411","1404.11",6.76789402095114
"48367140501","1405.01",6.28619444049516
"48367140410","1404.10",6.53653882232012
"48367140704","1407.04",6.98938686441135
"48367140705","1407.05",7.13177876588864
