"GEOID","NAME","Particulate.Matter"
"13057090802","908.02",9.43883529192323
"13057091003","910.03",9.96091706879423
"13057090200","902",8.82302885515841
"13057091103","911.03",9.78870099449255
"13057090602","906.02",9.52424826158571
"13057090501","905.01",9.17861771460141
"13057090601","906.01",9.66232243108939
"13057090701","907.01",9.62841443694981
"13057090702","907.02",9.48419132375451
"13057091102","911.02",9.72674457923718
"13057090300","903",9.64382537973525
"13057090902","909.02",9.64067281258929
"13057091001","910.01",9.72622497283945
"13057090502","905.02",9.12058905608375
"13057090400","904",9.46794270710975
"13057090901","909.01",9.81367445293862
"13057090100","901",9.34079442536158
"13057091006","910.06",9.89729363679657
"13057091101","911.01",9.97093851031643
"13057091008","910.08",9.76550648327832
"13057090804","908.04",9.73577097287921
"13057090803","908.03",9.63755432906635
"13057090904","909.04",9.7018838076696
"13057090905","909.05",9.74913634775893
"13057091007","910.07",9.95449205799958
"13057091005","910.05",9.84399690768673
