"GEOID","NAME","Particulate.Matter"
"48491020314","203.14",6.07123257183513
"48491021508","215.08",6.47901080871701
"48491020114","201.14",7.07877583823795
"48491021601","216.01",6.16069245085065
"48491020110","201.10",6.42520455907559
"48491020319","203.19",6.67757566819765
"48491020318","203.18",7.13058811185098
"48491020317","203.17",6.5553245065156
"48491020115","201.15",6.26866742431486
"48491020510","205.10",6.79466377615521
"48491020202","202.02",5.94766249738738
"48491021603","216.03",6.31493184666353
"48491020109","201.09",6.11629190865803
"48491020320","203.20",6.77575985266472
"48491020325","203.25",7.31398534465519
"48491020321","203.21",7.21339857889989
"48491020328","203.28",7.01735336984853
"48491020324","203.24",6.56939581985906
"48491020326","203.26",6.71524280629967
"48491020311","203.11",6.52300295990957
"48491020507","205.07",7.21680321928898
"48491020506","205.06",7.00519946655636
"48491020408","204.08",7.55867032436542
"48491020505","205.05",7.32006929534574
"48491020707","207.07",6.68500940360738
"48491020203","202.03",6.17522600083222
"48491020708","207.08",6.56375346113527
"48491021602","216.02",6.17008105662536
"48491020808","208.08",6.4050204570775
"48491020113","201.13",6.4541914455469
"48491020302","203.02",6.46189810152138
"48491020301","203.01",5.9356904976618
"48491020310","203.10",6.5704517352606
"48491020900","209",6.20653768328904
"48491021300","213",6.1986396894115
"48491021502","215.02",7.62404446086646
"48491021000","210",6.47799527840342
"48491021401","214.01",6.39043496466642
"48491020327","203.27",7.42101351242071
"48491020323","203.23",7.11975033627155
"48491020316","203.16",6.77762680989045
"48491020410","204.10",7.90857726914786
"48491020403","204.03",7.56961852848296
"48491020404","204.04",7.51898829689861
"48491020405","204.05",7.59160558323196
"48491020406","204.06",7.77508619831324
"48491020503","205.03",6.86633575499867
"48491020504","205.04",7.08621957686096
"48491020602","206.02",7.60221052062128
"48491020108","201.08",6.40069396527133
"48491020106","201.06",6.38867814757686
"48491020112","201.12",6.18668456941743
"48491020204","202.04",5.96491729243417
"48491020805","208.05",6.34850521518111
"48491020803","208.03",6.31627501019455
"48491020604","206.04",6.54972192885367
"48491020508","205.08",6.46883094707734
"48491020409","204.09",6.85254122988601
"48491020411","204.11",6.91036395323945
"48491020107","201.07",6.34442097135648
"48491020201","202.01",6.09683531947316
"48491020105","201.05",6.22559297388244
"48491020809","208.09",6.51814425238375
"48491021505","215.05",6.9108445128089
"48491020706","207.06",6.50320293090891
"48491020605","206.05",6.51211063233902
"48491020509","205.09",6.77735880814008
"48491020804","208.04",6.57408371194098
"48491021507","215.07",6.60770201891499
"48491020603","206.03",6.58153443761175
"48491021504","215.04",6.44017715123763
"48491020806","208.06",6.41561174305922
"48491021506","215.06",6.40000014333898
"48491020111","201.11",6.75211636279032
"48491020807","208.07",6.58703754539364
"48491020315","203.15",6.50110917795801
"48491020313","203.13",6.80720220293837
"48491020322","203.22",7.27057497248521
"48491020312","203.12",6.49392407100475
"48491020703","207.03",6.95544722919183
"48491020704","207.04",7.31130611961561
"48491021100","211",6.62390400276012
"48491021201","212.01",6.35996735673041
"48491021202","212.02",6.34063224009489
"48491021203","212.03",6.28011923568423
"48491020701","207.01",7.67639999737068
"48491021402","214.02",7.07777892336384
"48491021403","214.03",6.46797252226877
"48491021503","215.03",7.74163675939617
